라운드,경기번호,날짜,요일,주말,더비,온도,습도,예측관중,하한95,상한95
1,1,2026-03-01,Sunday,주말,일반,11.4,46,24370,4925,29244
1,2,2026-03-02,Monday,평일,더비,11.4,46,31681,4404,38018
1,3,2026-03-03,Tuesday,평일,일반,11.4,46,32920,8609,39504
1,4,2026-03-01,Sunday,주말,일반,11.4,46,24115,4070,28937
1,5,2026-03-02,Monday,평일,일반,11.4,46,17563,1361,21075
1,6,2026-03-03,Tuesday,평일,일반,11.4,46,17563,1205,21075
2,1,2026-03-08,Sunday,주말,일반,11.4,46,11396,2774,13675
2,2,2026-03-09,Monday,평일,더비,11.4,46,14814,2708,17777
2,3,2026-03-10,Tuesday,평일,일반,11.4,46,16240,6887,19488
2,4,2026-03-08,Sunday,주말,일반,11.4,46,11351,2365,13622
2,5,2026-03-09,Monday,평일,일반,11.4,46,7848,90,9418
2,6,2026-03-10,Tuesday,평일,더비,11.4,46,16557,4245,19868
3,1,2026-03-15,Sunday,주말,일반,11.4,46,10471,2226,12566
3,2,2026-03-16,Monday,평일,일반,11.4,46,10471,2028,12566
3,3,2026-03-17,Tuesday,평일,일반,11.4,46,10639,1836,12767
3,4,2026-03-15,Sunday,주말,일반,11.4,46,10639,1682,12767
3,5,2026-03-16,Monday,평일,일반,11.4,46,7338,0,8806
3,6,2026-03-17,Tuesday,평일,일반,11.4,46,7338,0,8806
4,1,2026-03-22,Sunday,주말,일반,11.4,46,10618,1808,12741
4,2,2026-03-23,Monday,평일,일반,11.4,46,10618,2276,12741
4,3,2026-03-24,Tuesday,평일,일반,11.4,46,10824,2146,12989
4,4,2026-03-22,Sunday,주말,일반,11.4,46,10824,2063,12989
4,5,2026-03-23,Monday,평일,일반,11.4,46,7530,0,9036
4,6,2026-03-24,Tuesday,평일,일반,11.4,46,7530,0,9036
5,1,2026-03-29,Sunday,주말,일반,11.4,46,10382,2168,12458
5,2,2026-03-30,Monday,평일,일반,11.4,46,10382,1500,12458
5,3,2026-03-31,Tuesday,평일,일반,11.4,46,10438,1889,12525
5,4,2026-03-29,Sunday,주말,일반,11.4,46,10438,1922,12525
5,5,2026-03-30,Monday,평일,일반,11.4,46,6986,0,8383
5,6,2026-03-31,Tuesday,평일,일반,11.4,46,6986,0,8383
6,1,2026-04-05,Sunday,주말,일반,17.5,44,10066,1720,12079
6,2,2026-04-06,Monday,평일,일반,17.5,44,14942,6448,17930
6,3,2026-04-07,Tuesday,평일,일반,17.5,44,10018,1609,12022
6,4,2026-04-05,Sunday,주말,더비,17.5,44,19362,5865,23234
6,5,2026-04-06,Monday,평일,더비,17.5,44,8440,0,10128
6,6,2026-04-07,Tuesday,평일,일반,17.5,44,6492,0,7791
7,1,2026-04-12,Sunday,주말,일반,17.5,44,8692,96,10430
7,2,2026-04-13,Monday,평일,일반,17.5,44,8692,443,10430
7,3,2026-04-14,Tuesday,평일,일반,17.5,44,8767,696,10520
7,4,2026-04-12,Sunday,주말,일반,17.5,44,8767,722,10520
7,5,2026-04-13,Monday,평일,일반,17.5,44,5397,0,6476
7,6,2026-04-14,Tuesday,평일,일반,17.5,44,5397,0,6476
8,1,2026-04-19,Sunday,주말,일반,17.5,44,8678,443,10414
8,2,2026-04-20,Monday,평일,더비,17.5,44,11281,554,13538
8,3,2026-04-21,Tuesday,평일,일반,17.5,44,13866,4478,16639
8,4,2026-04-19,Sunday,주말,일반,17.5,44,8997,840,10797
8,5,2026-04-20,Monday,평일,일반,17.5,44,5869,0,7042
8,6,2026-04-21,Tuesday,평일,일반,17.5,44,5869,0,7042
9,1,2026-04-26,Sunday,주말,일반,17.5,44,10085,880,12101
9,2,2026-04-27,Monday,평일,일반,17.5,44,10085,1496,12101
9,3,2026-04-28,Tuesday,평일,더비,17.5,44,13659,2291,16390
9,4,2026-04-26,Sunday,주말,일반,17.5,44,15372,6229,18447
9,5,2026-04-27,Monday,평일,더비,17.5,44,16007,3977,19208
9,6,2026-04-28,Tuesday,평일,더비,17.5,44,16007,3254,19208
10,1,2026-05-03,Sunday,주말,일반,20.7,51,12202,3530,14642
10,2,2026-05-04,Monday,평일,더비,20.7,51,15862,3742,19035
10,3,2026-05-05,Tuesday,평일,일반,20.7,51,17344,7716,20813
10,4,2026-05-03,Sunday,주말,일반,20.7,51,12482,3493,14978
10,5,2026-05-04,Monday,평일,일반,20.7,51,9258,269,11109
10,6,2026-05-05,Tuesday,평일,일반,20.7,51,9258,1023,11109
11,1,2026-05-10,Sunday,주말,일반,20.7,51,12211,3595,14653
11,2,2026-05-11,Monday,평일,일반,20.7,51,12211,3277,14653
11,3,2026-05-12,Tuesday,평일,일반,20.7,51,12279,3246,14734
11,4,2026-05-10,Sunday,주말,일반,20.7,51,12279,3783,14734
11,5,2026-05-11,Monday,평일,일반,20.7,51,8857,785,10628
11,6,2026-05-12,Tuesday,평일,일반,20.7,51,8857,685,10628
12,1,2026-05-17,Sunday,주말,일반,20.7,51,11147,2203,13377
12,2,2026-05-18,Monday,평일,일반,20.7,51,16003,6649,19204
12,3,2026-05-19,Tuesday,평일,일반,20.7,51,11172,2835,13407
12,4,2026-05-17,Sunday,주말,더비,20.7,51,14524,2062,17429
12,5,2026-05-18,Monday,평일,일반,20.7,51,7743,0,9292
12,6,2026-05-19,Tuesday,평일,일반,20.7,51,7743,0,9292
13,1,2026-05-24,Sunday,주말,일반,20.7,51,10434,1736,12521
13,2,2026-05-25,Monday,평일,일반,20.7,51,10434,1756,12521
13,3,2026-05-26,Tuesday,평일,일반,20.7,51,10609,2067,12731
13,4,2026-05-24,Sunday,주말,일반,20.7,51,10609,2171,12731
13,5,2026-05-25,Monday,평일,일반,20.7,51,7346,0,8815
13,6,2026-05-26,Tuesday,평일,일반,20.7,51,7346,0,8815
14,1,2026-05-31,Sunday,주말,일반,20.7,51,10879,2345,13055
14,2,2026-06-01,Monday,평일,일반,26.3,60,10879,1786,13055
14,3,2026-06-02,Tuesday,평일,더비,26.3,60,15505,3311,18607
14,4,2026-05-31,Sunday,주말,일반,20.7,51,11927,3017,14313
14,5,2026-06-01,Monday,평일,일반,26.3,60,13633,4786,16359
14,6,2026-06-02,Tuesday,평일,일반,26.3,60,8784,414,10541
15,1,2026-06-07,Sunday,주말,일반,26.3,60,12503,3874,15004
15,2,2026-06-08,Monday,평일,일반,26.3,60,12503,3670,15004
15,3,2026-06-09,Tuesday,평일,일반,26.3,60,12766,3736,15319
15,4,2026-06-07,Sunday,주말,일반,26.3,60,17612,7489,21134
15,5,2026-06-08,Monday,평일,더비,26.3,60,12412,976,14894
15,6,2026-06-09,Tuesday,평일,일반,26.3,60,9547,920,11457
16,1,2026-06-14,Sunday,주말,일반,26.3,60,12551,3626,15061
16,2,2026-06-15,Monday,평일,일반,26.3,60,12551,3439,15061
16,3,2026-06-16,Tuesday,평일,일반,26.3,60,12634,4227,15161
16,4,2026-06-14,Sunday,주말,일반,26.3,60,12634,3286,15161
16,5,2026-06-15,Monday,평일,일반,26.3,60,9236,965,11083
16,6,2026-06-16,Tuesday,평일,일반,26.3,60,9236,1088,11083
17,1,2026-06-21,Sunday,주말,일반,26.3,60,11458,2249,13750
17,2,2026-06-22,Monday,평일,일반,26.3,60,11458,2799,13750
17,3,2026-06-23,Tuesday,평일,일반,26.3,60,11438,2700,13726
17,4,2026-06-21,Sunday,주말,일반,26.3,60,11438,2529,13726
17,5,2026-06-22,Monday,평일,일반,26.3,60,7964,0,9557
17,6,2026-06-23,Tuesday,평일,일반,26.3,60,7964,286,9557
18,1,2026-06-28,Sunday,주말,일반,26.3,60,10186,1598,12223
18,2,2026-06-29,Monday,평일,일반,26.3,60,10186,1612,12223
18,3,2026-06-30,Tuesday,평일,더비,26.3,60,13312,2042,15975
18,4,2026-06-28,Sunday,주말,일반,26.3,60,10240,1422,12288
18,5,2026-06-29,Monday,평일,일반,26.3,60,11697,3495,14037
18,6,2026-06-30,Tuesday,평일,일반,26.3,60,6862,0,8235
19,1,2026-07-05,Sunday,주말,일반,28.2,73,10351,2276,12422
19,2,2026-07-06,Monday,평일,일반,28.2,73,10351,1694,12422
19,3,2026-07-07,Tuesday,평일,일반,28.2,73,10544,2141,12652
19,4,2026-07-05,Sunday,주말,일반,28.2,73,15376,6379,18451
19,5,2026-07-06,Monday,평일,더비,28.2,73,9489,0,11387
19,6,2026-07-07,Tuesday,평일,일반,28.2,73,7299,0,8759
20,1,2026-07-12,Sunday,주말,일반,28.2,73,10621,2030,12745
20,2,2026-07-13,Monday,평일,더비,28.2,73,13807,1654,16568
20,3,2026-07-14,Tuesday,평일,일반,28.2,73,15678,6318,18813
20,4,2026-07-12,Sunday,주말,일반,28.2,73,15678,6532,18813
20,5,2026-07-13,Monday,평일,더비,28.2,73,9909,0,11891
20,6,2026-07-14,Tuesday,평일,일반,28.2,73,7623,0,9147
21,1,2026-07-19,Sunday,주말,일반,28.2,73,10754,1779,12905
21,2,2026-07-20,Monday,평일,더비,28.2,73,13981,2332,16777
21,3,2026-07-21,Tuesday,평일,일반,28.2,73,15733,6084,18879
21,4,2026-07-19,Sunday,주말,일반,28.2,73,10907,2046,13088
21,5,2026-07-20,Monday,평일,일반,28.2,73,7601,0,9122
21,6,2026-07-21,Tuesday,평일,일반,28.2,73,7601,0,9122
22,1,2026-07-26,Sunday,주말,일반,28.2,73,10353,2163,12424
22,2,2026-07-27,Monday,평일,더비,28.2,73,13459,1389,16151
22,3,2026-07-28,Tuesday,평일,일반,28.2,73,15280,5871,18336
22,4,2026-07-26,Sunday,주말,일반,28.2,73,10458,2071,12550
22,5,2026-07-27,Monday,평일,일반,28.2,73,7122,0,8547
22,6,2026-07-28,Tuesday,평일,일반,28.2,73,7122,0,8547
23,1,2026-08-02,Sunday,주말,일반,28.8,68,10989,2445,13186
23,2,2026-08-03,Monday,평일,일반,28.8,68,10989,2245,13186
23,3,2026-08-04,Tuesday,평일,더비,28.8,68,14513,2597,17416
23,4,2026-08-02,Sunday,주말,일반,28.8,68,11164,2453,13397
23,5,2026-08-03,Monday,평일,일반,28.8,68,12734,4264,15281
23,6,2026-08-04,Tuesday,평일,일반,28.8,68,7916,0,9499
24,1,2026-08-09,Sunday,주말,일반,28.8,68,11298,2685,13557
24,2,2026-08-10,Monday,평일,더비,28.8,68,14687,2973,17625
24,3,2026-08-11,Tuesday,평일,더비,28.8,68,21313,6551,25576
24,4,2026-08-09,Sunday,주말,일반,28.8,68,11579,2567,13895
24,5,2026-08-10,Monday,평일,일반,28.8,68,13245,4261,15894
24,6,2026-08-11,Tuesday,평일,일반,28.8,68,8430,120,10116
25,1,2026-08-16,Sunday,주말,일반,28.8,68,12066,3229,14479
25,2,2026-08-17,Monday,평일,일반,28.8,68,12066,3379,14479
25,3,2026-08-18,Tuesday,평일,일반,28.8,68,12337,3559,14805
25,4,2026-08-16,Sunday,주말,일반,28.8,68,12337,3367,14805
25,5,2026-08-17,Monday,평일,일반,28.8,68,9159,670,10990
25,6,2026-08-18,Tuesday,평일,일반,28.8,68,9159,657,10990
26,1,2026-08-23,Sunday,주말,더비,28.8,68,22280,7749,26736
26,2,2026-08-24,Monday,평일,일반,28.8,68,12329,3942,14795
26,3,2026-08-25,Tuesday,평일,일반,28.8,68,12462,3075,14954
26,4,2026-08-23,Sunday,주말,일반,28.8,68,17271,7322,20725
26,5,2026-08-24,Monday,평일,더비,28.8,68,11879,897,14254
26,6,2026-08-25,Tuesday,평일,일반,28.8,68,9137,290,10965
27,1,2026-08-30,Sunday,주말,일반,28.8,68,11576,3225,13891
27,2,2026-08-31,Monday,평일,일반,28.8,68,11576,2830,13891
27,3,2026-09-01,Tuesday,평일,일반,26.0,64,11590,2551,13908
27,4,2026-08-30,Sunday,주말,일반,28.8,68,11590,2819,13908
27,5,2026-08-31,Monday,평일,일반,28.8,68,9125,782,10950
27,6,2026-09-01,Tuesday,평일,일반,26.0,64,9125,335,10950
28,1,2026-09-06,Sunday,주말,일반,26.0,64,11391,2673,13669
28,2,2026-09-07,Monday,평일,일반,26.0,64,11391,2795,13669
28,3,2026-09-08,Tuesday,평일,일반,26.0,64,11443,2989,13732
28,4,2026-09-06,Sunday,주말,일반,26.0,64,11443,2290,13732
28,5,2026-09-07,Monday,평일,일반,26.0,64,8084,0,9701
28,6,2026-09-08,Tuesday,평일,일반,26.0,64,8084,0,9701
29,1,2026-09-13,Sunday,주말,일반,26.0,64,10917,2190,13100
29,2,2026-09-14,Monday,평일,일반,26.0,64,10917,2602,13100
29,3,2026-09-15,Tuesday,평일,일반,26.0,64,11114,2404,13336
29,4,2026-09-13,Sunday,주말,일반,26.0,64,11114,2846,13336
29,5,2026-09-14,Monday,평일,일반,26.0,64,7902,0,9482
29,6,2026-09-15,Tuesday,평일,일반,26.0,64,7902,0,9482
30,1,2026-09-20,Sunday,주말,일반,26.0,64,17005,2529,20405
30,2,2026-09-21,Monday,평일,일반,26.0,64,17005,2186,20405
30,3,2026-09-22,Tuesday,평일,일반,26.0,64,17407,2550,20888
30,4,2026-09-20,Sunday,주말,일반,26.0,64,24601,6826,29521
30,5,2026-09-21,Monday,평일,더비,26.0,64,16468,336,19761
30,6,2026-09-22,Tuesday,평일,일반,26.0,64,12667,716,15201
31,1,2026-09-27,Sunday,주말,일반,26.0,64,17639,3267,21166
31,2,2026-09-28,Monday,평일,일반,26.0,64,24828,6729,29794
31,3,2026-09-29,Tuesday,평일,더비,26.0,64,23271,3669,27925
31,4,2026-09-27,Sunday,주말,더비,26.0,64,23271,3289,27925
31,5,2026-09-28,Monday,평일,일반,26.0,64,20183,4747,24219
31,6,2026-09-29,Tuesday,평일,일반,26.0,64,12994,380,15593
32,1,2026-10-04,Sunday,주말,일반,19.1,60,18279,3007,21934
32,2,2026-10-05,Monday,평일,일반,19.1,60,18279,3675,21934
32,3,2026-10-06,Tuesday,평일,일반,19.1,60,18302,3660,21963
32,4,2026-10-04,Sunday,주말,일반,19.1,60,18302,3786,21963
32,5,2026-10-05,Monday,평일,일반,19.1,60,13170,1153,15805
32,6,2026-10-06,Tuesday,평일,더비,19.1,60,26460,4160,31752
33,1,2026-10-11,Sunday,주말,더비,19.1,60,30381,5824,36458
33,2,2026-10-12,Monday,평일,일반,19.1,60,16191,2278,19429
33,3,2026-10-13,Tuesday,평일,일반,19.1,60,16141,2206,19369
33,4,2026-10-11,Sunday,주말,일반,19.1,60,16141,1873,19369
33,5,2026-10-12,Monday,평일,일반,19.1,60,10975,0,13170
33,6,2026-10-13,Tuesday,평일,더비,19.1,60,23599,2908,28319
34,1,2026-10-18,Sunday,주말,더비,19.1,60,27973,5245,33567
34,2,2026-10-19,Monday,평일,일반,19.1,60,14343,1051,17211
34,3,2026-10-20,Tuesday,평일,일반,19.1,60,14456,987,17347
34,4,2026-10-18,Sunday,주말,일반,19.1,60,14456,1646,17347
34,5,2026-10-19,Monday,평일,일반,19.1,60,9480,0,11375
34,6,2026-10-20,Tuesday,평일,더비,19.1,60,21649,2775,25978
35,1,2026-10-25,Sunday,주말,일반,19.1,60,13943,1423,16731
35,2,2026-10-26,Monday,평일,일반,19.1,60,13943,950,16731
35,3,2026-10-27,Tuesday,평일,일반,19.1,60,14272,722,17126
35,4,2026-10-25,Sunday,주말,일반,19.1,60,14272,1180,17126
35,5,2026-10-26,Monday,평일,일반,19.1,60,9503,0,11404
35,6,2026-10-27,Tuesday,평일,일반,19.1,60,9503,0,11404
36,1,2026-11-01,Sunday,주말,일반,12.0,53,16165,2425,19398
36,2,2026-11-02,Monday,평일,일반,12.0,53,16165,2416,19398
36,3,2026-11-03,Tuesday,평일,일반,12.0,53,16550,1908,19860
36,4,2026-11-01,Sunday,주말,일반,12.0,53,16550,2598,19860
36,5,2026-11-02,Monday,평일,일반,12.0,53,11811,0,14173
36,6,2026-11-03,Tuesday,평일,일반,12.0,53,11811,0,14173
37,1,2026-11-08,Sunday,주말,일반,12.0,53,16701,2723,20041
37,2,2026-11-09,Monday,평일,일반,12.0,53,23860,6254,28632
37,3,2026-11-10,Tuesday,평일,일반,12.0,53,16974,2686,20369
37,4,2026-11-08,Sunday,주말,더비,12.0,53,22066,2720,26479
37,5,2026-11-09,Monday,평일,일반,12.0,53,12115,96,14539
37,6,2026-11-10,Tuesday,평일,일반,12.0,53,12115,0,14539
38,1,2026-11-15,Sunday,주말,일반,12.0,53,10917,2765,13101
38,2,2026-11-16,Monday,평일,일반,12.0,53,10917,2593,13101
38,3,2026-11-17,Tuesday,평일,일반,12.0,53,11035,2293,13242
38,4,2026-11-15,Sunday,주말,일반,12.0,53,15804,6432,18965
38,5,2026-11-16,Monday,평일,더비,12.0,53,10071,0,12085
38,6,2026-11-17,Tuesday,평일,일반,12.0,53,7747,0,9296
